TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
FPAB11;202,50;1,630000;8,90;410,45;0,49;18.690,35;1,68;-7,52;-20,64;307.834.937,38;908,00;Passiva;750.000,00
FPNG11;75,69;0,740000;9,91;169,12;0,45;269,17;1,62;9,90;;172.903.254,05;88,00;Ativa;1.022.344,00
GTWR11;86,28;0,740000;10,13;97,99;0,88;953.788,28;0,79;2,11;-7,56;1.175.921.559,90;25.067,00;Ativa;12.000.000,00
HAAA11;86,50;0,540000;7,61;90,21;0,96;1.522,89;1,20;;;311.676.403,77;150,00;Ativa;3.455.000,00
HABT11;97,72;1,000000;15,64;100,26;0,97;2.019.167,41;7,51;14,01;-2,95;814.802.806,38;61.647,00;Ativa;8.126.783,00
HBCR11;111,00;0,718213;8,00;103,43;1,07;754.855,50;13,53;;;78.814.701,50;34,00;Ativa;762.000,00
HBRH11;96,50;0,632500;9,45;113,16;0,85;243.820,44;0,93;;;313.713.456,15;1.545,00;Ativa;2.772.204,00
HMOC11;226,95;23,800000;0,00;238,79;0,95;;0,67;122,18;-2,91;91.223.530,50;209,00;Passiva;382.017,00
HRDF11;1,15;6,800000;0,00;1,13;1,02;2.243,90;51,34;;;8.546.531,25;1.288,00;Ativa;7.587.125,00
IRDM11;99,90;0,850320;14,75;94,56;1,06;6.543.536,59;7,78;10,15;-5,76;3.445.056.065,04;268.298,00;Ativa;36.433.827,00
IRIM11;102,01;1,148525;16,91;97,96;1,04;165.151,38;3,24;;;188.078.142,11;2.880,00;Ativa;1.920.000,00
ITIP11;82,22;0,870000;14,12;83,47;0,99;65.742,00;1,49;;;62.448.443,98;2.604,00;Passiva;748.151,00
ITIT11;81,99;0,590000;8,01;86,09;0,95;101.525,21;1,01;;;77.523.095,91;6.306,00;Passiva;900.494,00
