TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;0,23;0,23;-0,93;;0,00;0,00;50,48;-397,91;-390,74;-408,64;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CNSY3;30,22;;436,92;-32,79;4,84;5,38;9,01;1,95;94,37;110,62;16,25;;8,50;-31,74;-5,48;0,43;-7,50;1,11;1,93;-0,15;1,15;0,57;-8,64;7,14;;-0,92;0,07;-4,20;935.885.083,86
COCE3;57,70;5,04;8,61;1,22;0,38;18,02;13,63;5,84;3,69;5,92;3,17;1,05;0,50;-11,61;-0,52;0,89;14,18;4,36;13,55;0,31;0,69;0,75;14,63;5,82;11.540,00;47,25;6,70;0,42;3.344.543.694,44
COCE5;44,80;6,49;6,69;0,95;0,29;18,02;13,63;5,84;2,86;5,92;3,17;1,05;0,39;-9,01;-0,40;0,89;14,18;4,36;13,55;0,31;0,69;0,75;14,63;5,82;655.667,32;47,25;6,70;0,33;3.344.543.694,44
COCE6;19,17;15,16;2,86;0,41;0,12;18,02;13,63;5,84;1,23;5,92;3,17;1,05;0,17;-3,86;-0,17;0,89;14,18;4,36;13,55;0,31;0,69;0,75;14,63;5,82;;47,25;6,70;0,14;3.344.543.694,44
COGN3;2,78;;-12,44;0,41;0,19;59,49;5,24;-8,64;20,52;43,23;22,86;0,46;1,08;2,37;-0,25;1,49;-3,32;-1,50;0,91;0,45;0,51;0,17;-1,85;;72.394.843,62;6,72;-0,22;0,13;5.179.433.139,60
CORR3;2,71;;-0,08;-0,17;0,00;99,61;-70,51;-32,32;-0,04;7,90;8,68;;0,03;0,00;-0,02;25,42;-201,07;-3,64;573,60;-0,02;1,02;0,11;-18,56;;;-16,20;-32,57;0,00;1.278.894,65
CORR4;82,00;;-2,52;-5,06;0,09;99,61;-70,51;-32,32;-1,15;7,90;8,68;;0,81;0,12;-0,46;25,42;-201,07;-3,64;573,60;-0,02;1,02;0,11;-18,56;;;-16,20;-32,57;0,02;1.278.894,65
CPFE3;34,81;11,32;7,94;2,86;0,61;26,39;21,58;12,40;4,56;6,88;2,31;1,45;0,99;-44,52;-0,78;0,94;36,04;7,66;17,91;0,21;0,78;0,62;15,46;41,16;84.329.037,97;12,16;4,38;0,50;40.144.544.689,60
CPLE11;33,10;17,35;5,42;0,88;0,37;19,93;19,24;13,70;3,86;5,82;1,97;0,45;0,74;7,02;-0,46;1,34;16,24;6,79;12,11;0,42;0,57;0,50;12,85;30,15;9.123.586,71;37,63;6,11;-1,09;18.099.566.502,50
CPLE3;6,29;16,90;5,15;0,84;0,35;19,93;19,24;13,70;3,66;5,82;1,97;0,45;0,70;6,67;-0,44;1,34;16,24;6,79;12,11;0,42;0,57;0,50;12,85;30,15;4.243.285,24;7,53;1,22;-1,03;18.099.566.502,50
CPLE5;33,00;3,54;27,00;4,38;1,83;19,93;19,24;13,70;19,22;5,82;1,97;0,45;3,70;34,99;-2,30;1,34;16,24;6,79;12,11;0,42;0,57;0,50;12,85;30,15;13.311,70;7,53;1,22;-5,43;18.099.566.502,50
CPLE6;6,74;17,35;5,51;0,90;0,37;19,93;19,24;13,70;3,93;5,82;1,97;0,45;0,76;7,15;-0,47;1,34;16,24;6,79;12,11;0,42;0,57;0,50;12,85;30,15;51.971.037,88;7,53;1,22;-1,11;18.099.566.502,50
CPRE3;18,23;;7,94;1,98;0,90;62,94;50,53;39,14;6,15;6,71;0,55;0,18;3,11;-22,21;-1,05;0,78;24,88;11,31;23,22;0,45;0,54;0,29;15,78;;;9,22;2,29;3,47;10.824.655.047,92
CRDE3;20,00;;-7,55;0,50;0,43;32,35;-130,36;-106,24;-6,15;-4,61;1,54;-0,13;8,02;7,95;-0,50;1,58;-6,62;-5,65;-8,34;0,85;0,15;0,05;-22,10;;11.104,60;40,00;-2,65;0,12;48.443.060,00
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
CRFB3;20,56;3,45;16,35;2,17;0,55;18,75;5,68;3,04;8,75;11,55;2,80;0,69;0,50;-15,27;-0,96;0,92;13,27;3,34;10,44;0,25;0,73;1,10;10,34;17,64;91.762.779,59;9,48;1,26;-1,09;43.229.166.902,25
CRIV3;4,53;5,79;-2.148,99;0,44;0,06;42,77;11,37;-0,02;3,65;3,92;;;0,41;0,27;-0,07;11,93;-0,02;0,00;;0,13;0,87;0,14;-1,83;;46.484,48;10,24;0,00;21,40;501.391.881,82
CRIV4;5,27;8,76;-2.500,03;0,51;0,07;42,77;11,37;-0,02;4,24;3,92;;;0,48;0,32;-0,08;11,93;-0,02;0,00;;0,13;0,87;0,14;-1,83;;14.920,73;10,24;0,00;24,90;501.391.881,82
CRPG3;48,00;6,11;9,55;1,58;1,22;16,49;13,53;15,66;11,06;6,83;-1,09;-0,16;1,50;2,66;-2,91;4,88;16,51;12,83;13,93;0,78;0,22;0,82;17,77;11,67;9.599,00;30,45;5,03;-0,19;997.775.544,45
CRPG5;27,05;10,85;5,38;0,89;0,69;16,49;13,53;15,66;6,23;6,83;-1,09;-0,16;0,84;1,50;-1,64;4,88;16,51;12,83;13,93;0,78;0,22;0,82;17,77;11,67;252.674,26;30,45;5,03;-0,11;997.775.544,45
CRPG6;27,40;10,71;5,45;0,90;0,70;16,49;13,53;15,66;6,31;6,83;-1,09;-0,16;0,85;1,52;-1,66;4,88;16,51;12,83;13,93;0,78;0,22;0,82;17,77;11,67;25.320,75;30,45;5,03;-0,11;997.775.544,45
CSAB3;47,00;2,17;29,32;1,98;0,94;46,01;181,12;240,96;39,00;39,00;;;70,64;6,28;-1,19;3,59;6,74;3,21;;0,48;0,52;0,01;-42,66;-26,12;4.700,00;23,77;1,60;-0,40;360.960.000,00
CSAB4;47,00;2,38;29,32;1,98;0,94;46,01;181,12;240,96;39,00;39,00;;;70,64;6,28;-1,19;3,59;6,74;3,21;;0,48;0,52;0,01;-42,66;-26,12;9.013,63;23,77;1,60;-0,40;360.960.000,00
CSAN3;18,25;4,40;6,94;2,19;0,36;23,73;28,95;15,84;3,80;7,25;3,47;2,00;1,10;3,01;-0,48;1,89;31,49;5,13;11,19;0,16;0,68;0,32;26,99;36,60;125.572.500,26;8,35;2,63;0,07;34.070.609.543,76
CSED3;4,51;2,90;30,25;1,19;0,36;47,74;17,40;2,95;5,12;5,70;0,53;0,12;0,89;2,83;-0,48;1,98;3,95;1,18;13,02;0,30;0,70;0,40;;;2.066.862,15;3,78;0,15;-1,23;1.737.291.192,00
