TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
HCPR11;0,00;;0,00;;;;;;;;;;1.750.000,00
HCRI11;245,46;2,603982;10,40;308,16;0,79;38.996,63;2,08;0,72;-15,24;61.632.753,60;3.123,00;Passiva;200.000,00
HCST11;53,88;;0,00;102,37;0,53;737,86;2,94;;;47.847.807,99;73,00;Ativa;467.414,00
HCTR11;59,99;0,500000;19,09;109,25;0,55;5.148.641,60;0,75;-21,92;-20,53;2.412.748.656,20;207.899,00;Ativa;22.084.202,00
HDEL11;106,09;1,950000;3,64;85,85;1,24;7.956,50;99,05;;;3.604.326,92;56,00;Passiva;41.983,00
HDOF11;115,00;;0,00;97,85;1,18;8.050,00;3,90;;;174.772.204,59;110,00;Ativa;1.786.075,00
HFOF11;73,50;0,630000;10,16;75,91;0,97;1.965.324,63;0,89;0,82;-13,47;1.746.780.164,14;71.659,00;Ativa;23.012.000,00
HGBS11;206,37;1,450000;7,99;218,92;0,95;1.679.442,93;0,60;43,99;-2,35;2.189.217.601,26;89.911,00;Ativa;10.000.000,00
HGCR11;103,04;1,200000;14,04;102,12;1,00;3.822.626,77;4,85;26,70;-1,45;1.574.427.906,84;90.367,00;Ativa;15.418.106,00
HGFF11;81,50;0,650000;9,50;85,93;0,95;1.398.740,63;1,31;4,04;-7,08;246.067.646,52;11.195,00;Ativa;2.863.597,00
HGIC11;105,01;0,910000;11,64;118,92;0,88;823.184,03;5,66;;;55.023.897,43;395,00;Ativa;462.706,00
HGLG11;159,99;1,100000;10,31;152,58;1,05;9.559.645,37;3,57;13,62;-5,46;3.579.087.134,99;343.538,00;Ativa;23.456.675,00
HGPO11;264,49;1,600000;7,13;299,21;0,88;904.319,13;0,79;16,96;9,38;524.539.802,17;10.591,00;Passiva;1.753.057,00
HGRE11;132,05;0,780000;7,28;156,35;0,85;2.462.597,13;3,51;5,86;-3,29;1.847.756.325,11;139.269,00;Ativa;11.817.767,00
HGRS11;0,00;;0,00;100,73;;;12,57;;;150.381.891,48;6,00;Ativa;1.492.940,00
HGRU11;126,13;0,850000;9,10;123,68;1,02;3.655.672,93;2,40;11,91;-0,65;2.276.573.619,53;197.252,00;Ativa;18.406.458,00
HILG11;0,00;0,957695;0,00;180,92;;;0,93;;;94.453.905,47;50,00;Ativa;522.087,00
HLOG11;87,98;0,650000;8,91;115,37;0,76;130.375,33;1,41;0,52;-11,21;490.334.766,29;4.150,00;Ativa;4.250.000,00
HMOC11;226,95;23,800000;0,00;238,79;0,95;;0,67;122,18;2,78;91.223.530,50;209,00;Passiva;382.017,00
HOFC11;23,67;0,200000;9,53;89,92;0,26;114.227,57;0,51;-22,45;-34,67;339.822.135,30;7.695,00;Ativa;3.779.001,00
HOSI11;58,97;0,360000;11,00;93,09;0,59;13.594,77;3,04;;-11,77;53.380.714,87;1.710,00;Ativa;573.450,00
HPDP11;70,50;0,500000;7,83;89,31;0,79;7.237,90;0,67;28,69;-7,82;259.785.560,09;394,00;Passiva;2.908.813,00
HRDF11;4,80;6,800000;0,00;1,13;4,27;3.057,87;47,62;;34,75;8.594.290,68;1.280,00;Ativa;7.587.125,00
HREC11;82,90;0,900000;13,72;90,97;0,91;103.218,53;0,88;;;469.107.769,47;1.220,00;Ativa;5.156.765,00
HSAF11;84,81;1,100000;13,62;92,71;0,92;392.431,87;4,02;;;234.220.942,16;9.101,00;Ativa;2.526.360,00
HSLG11;94,00;0,730000;8,95;104,04;0,90;970.540,63;4,08;;;1.317.187.344,81;28.089,00;Ativa;12.660.067,00
HSML11;91,00;0,740000;9,16;95,74;0,95;2.780.728,13;5,93;27,17;0,26;1.510.876.570,09;152.563,00;Ativa;15.780.613,00
HSRE11;100,50;0,630000;7,47;96,31;1,04;129.707,50;1,68;;;857.023.999,68;195,00;Ativa;8.898.724,00
HTMX11;118,88;1,738132;9,27;138,94;0,84;345.833,80;4,43;10,76;-5,15;209.008.272,21;25.225,00;Ativa;1.504.334,00
HUCG11;75,89;0,200000;9,36;102,16;0,74;1.398,43;53,08;;;114.628.322,41;225,00;Passiva;1.122.000,00
HUSC11;97,68;0,860000;11,11;145,30;0,67;8.080,53;2,86;3,99;-10,90;119.135.115,56;768,00;Passiva;819.907,00
HUSI11;1.160,00;7,715179;8,89;1.110,81;1,04;15.321,00;1,94;;;129.255.826,23;85,00;Ativa;116.362,00
IBCR11;77,22;0,910000;15,30;93,18;0,83;80.292,20;7,37;;;89.301.248,93;4.122,00;Ativa;958.423,00
IBFF11;66,40;0,296485;1,16;14,78;4,49;162.549,50;101,13;;-5,14;9.855.905,16;3.870,00;Ativa;666.681,00
IDFI11;42,00;0,538441;16,78;45,57;0,92;9.400,23;22,75;;;93.775.035,78;276,00;Ativa;2.057.925,00
IRDM11;86,58;0,867513;13,56;89,31;0,96;5.590.455,43;6,84;-6,60;-6,76;3.253.777.197,91;282.971,00;Ativa;36.433.827,00
IRIM11;91,74;1,044271;14,36;94,66;0,95;127.272,70;6,65;;;181.739.353,25;2.827,00;Ativa;1.920.000,00
