TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TWO;13,88;8,00;6,22;0,55;0,09;;;;2,06;3,27;1,21;0,32;;;-0,09;;8,83;1,43;11,92;0,16;0,84;0,00;;-8,77;;25,28;2,23;;1.198.879.448,00
UBA;17,18;5,60;24,61;1,20;0,68;66,55;38,80;18,83;11,94;17,66;5,72;0,57;4,63;;-0,68;;4,87;2,76;6,27;0,57;0,37;0,15;2,98;-5,59;;14,34;0,70;;675.644.732,00
UBP;15,39;5,64;22,04;1,07;0,61;66,55;38,80;18,83;10,70;17,66;5,72;0,57;4,15;;-0,61;;4,87;2,76;6,27;0,57;0,37;0,15;2,98;-5,59;;14,34;0,70;;675.644.732,00
UDR;38,70;3,93;154,39;3,11;1,15;65,66;16,40;5,44;51,19;73,34;22,14;1,34;8,40;;-1,15;;2,01;0,75;2,58;0,37;0,55;0,14;8,79;-6,49;;12,45;0,25;;12.738.708.720,00
UHT;47,67;5,98;31,18;2,87;1,08;94,38;33,84;23,28;21,46;32,39;10,93;1,46;7,26;;-1,08;;9,21;3,47;5,36;0,38;0,62;0,15;4,61;-14,29;;16,60;1,53;;658.003.311,00
UMH;14,34;5,61;-102,45;1,56;0,64;52,38;10,97;-4,26;39,84;74,33;34,49;1,35;4,37;;-0,64;;-1,52;-0,62;1,63;0,41;0,59;0,15;11,69;;;9,20;-0,14;;855.256.242,00
UNIT;3,37;17,80;-86,92;-0,35;0,16;100,00;30,91;-0,81;2,29;17,08;14,79;;0,71;;-0,16;;-0,40;-0,19;11,31;-0,47;1,47;0,23;4,27;;;-9,58;-0,04;;799.542.273,00
VER;50,30;;51,85;1,83;0,92;89,60;40,92;19,16;24,28;26,51;2,23;0,17;9,93;;-0,92;;3,53;1,77;6,38;0,50;0,50;0,09;-4,22;;;27,47;0,97;;11.526.224.880,00
VICI;31,07;4,92;27,90;1,42;0,83;100,00;64,56;42,97;18,57;26,50;7,93;0,61;11,99;;-0,83;;5,10;2,97;4,70;0,58;0,42;0,07;69,19;92,16;;21,85;1,11;;31.184.172.929,00
VNO;13,58;14,47;-6,63;0,45;0,16;51,45;-4,51;-21,84;-32,09;-117,03;-84,94;1,18;1,45;;-0,16;;-6,73;-2,38;-0,72;0,35;0,62;0,11;-2,89;;;30,44;-2,05;;2.605.552.502,00
VTR;42,38;4,25;-380,10;1,67;0,70;44,81;9,25;-1,08;44,40;76,16;31,76;1,19;4,11;;-0,70;;-0,44;-0,18;1,63;0,42;0,57;0,17;2,91;;;25,38;-0,11;;16.951.728.768,00
WELL;67,49;3,62;234,64;1,63;0,87;37,68;12,30;2,47;47,13;66,81;19,68;0,68;5,80;;-0,87;;0,70;0,37;2,00;0,54;0,45;0,15;6,12;-21,96;;41,36;0,29;;33.113.563.560,00
WHLR;1,49;;-1,17;-0,96;0,02;66,43;28,23;-16,25;0,67;19,96;19,29;;0,19;;-0,02;;-82,14;-1,82;4,72;-0,02;0,87;0,11;5,54;;;-1,55;-1,27;;14.593.060,00
WHLRD;12,54;;-9,86;-8,10;0,18;66,43;28,23;-16,25;5,68;19,96;19,29;;1,60;;-0,18;;-82,14;-1,82;4,72;-0,02;0,87;0,11;5,54;;;-1,55;-1,27;;14.593.060,00
WHLRP;1,57;;-1,23;-1,01;0,02;66,43;28,23;-16,25;0,71;19,96;19,29;;0,20;;-0,02;;-82,14;-1,82;4,72;-0,02;0,87;0,11;5,54;;;-1,55;-1,27;;14.593.060,00
WMC;8,63;10,20;-0,59;0,55;0,02;;;;0,99;38,88;37,89;20,96;;;-0,02;;-93,96;-3,63;2,34;0,04;0,96;0,00;;;;15,70;-14,75;;52.107.940,00
WPC;77,22;5,49;27,15;1,81;0,90;89,59;57,15;40,51;19,24;27,97;8,73;0,82;11,00;;-0,90;;6,66;3,31;4,85;0,50;0,50;0,08;11,76;16,66;;42,70;2,84;;16.264.230.840,00
WPG;0,83;;-0,07;0,05;0,01;58,45;-26,37;-55,13;-0,14;-7,32;-7,18;2,30;0,04;;-0,01;;-66,82;-7,43;-9,19;0,11;0,89;0,13;-10,66;;;18,33;-12,25;;20.301.468,00
WRI;31,44;;45,88;2,49;1,03;64,97;32,00;19,72;28,28;40,47;12,20;1,07;9,05;;-1,03;;5,42;2,25;4,15;0,41;0,59;0,11;-3,29;3,64;;12,64;0,69;;4.017.554.112,00
WSR;8,76;5,48;12,28;1,03;0,39;68,95;45,31;25,30;6,85;16,59;9,74;1,47;3,11;;-0,39;;8,43;3,20;5,96;0,38;0,62;0,13;2,05;33,45;;8,47;0,71;;432.954.240,00
WY;28,54;5,71;11,12;1,94;1,21;35,55;25,28;18,46;8,12;9,47;1,35;0,32;2,05;20,78;-1,43;1,58;17,49;10,84;13,61;0,62;0,38;0,59;7,19;26,43;;14,68;2,57;;20.901.183.380,00
XAN;4,34;;-0,17;0,12;0,02;94,60;13,85;-353,64;4,30;153,69;149,39;4,16;0,60;;-0,02;;-71,03;-12,47;0,49;0,18;0,82;0,04;-6,24;-3,96;;36,28;-25,77;;38.012.324,00
XHR;12,15;1,65;24,22;0,94;0,44;61,32;14,29;5,61;9,50;17,04;7,54;0,75;1,36;-1,18;-0,52;0,29;3,88;1,82;4,87;0,47;0,53;0,32;1,08;-10,77;;12,93;0,50;;1.354.495.365,00
