TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
KISU11;7,89;0,075000;11,52;8,37;0,94;766.693,76;1,67;;;369.848.082,31;118.084,00;Ativa;44.196.050,00
FPAB11;139,00;1,520000;13,88;375,51;0,37;17.392,00;1,81;-1,98;-25,76;281.634.402,75;987,00;Passiva;750.000,00
QIRI11;78,04;0,660000;5,16;89,61;0,87;6.867,57;100,31;;;13.441.852,95;173,00;Ativa;150.000,00
ITIP11;76,45;0,880000;14,00;78,75;0,98;64.378,61;1,57;;;58.916.480,43;2.526,00;Passiva;748.151,00
CJCT11;67,50;0,330000;0,00;65,61;1,03;16.698,08;4,39;;7,13;206.016.802,32;1.203,00;Passiva;3.140.000,00
PQAG11;51,49;0,440000;9,79;57,27;0,91;97.903,48;1,23;;;801.309.157,36;465,00;Ativa;13.991.890,00
BLCP11;91,00;0,563428;3,89;111,74;0,81;103.127,50;1,06;;;256.580.339,90;279,00;Ativa;2.296.282,00
BBPO11;81,65;0,900000;13,32;100,79;0,81;1.525.879,00;4,60;-5,43;-16,75;1.604.588.209,79;74.419,00;Passiva;15.919.690,00
DAMT11B;15,00;0,105251;2,82;13,20;1,12;1.789,21;1,20;;;96.451.834,16;581,00;Passiva;7.305.341,00
BRIM11;1.030,22;10,890000;12,06;1.097,65;0,94;1.020,40;2,41;;;136.259.864,34;219,00;Ativa;124.137,00
RBGS11;28,45;0,176600;0,00;90,78;0,31;;0,52;4,91;-17,12;97.865.283,71;2.808,00;Passiva;1.078.000,00
HOSI11;58,06;0,420000;10,32;92,81;0,63;541.586,09;2,40;;-10,13;53.221.116,38;1.770,00;Ativa;573.450,00
IBFF11;66,40;0,296485;3,42;14,78;4,49;162.549,50;101,13;;-7,79;9.855.905,16;3.870,00;Ativa;666.681,00
TORM13;142,00;10,562960;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
NPAR11;12,82;1,196695;0,00;14,07;0,91;3.347,73;100,00;;;1.682.250,84;772,00;Ativa;119.589,00
TFOF11;138,00;2,370000;0,00;121,20;1,14;;13,36;29,98;3,08;103.080.374,68;3.278,00;Ativa;850.530,00
MTOF11;0,00;;0,00;86,12;;;1,63;;;161.967.592,90;2,00;Ativa;1.880.743,00
VTRT11;0,00;0,107508;0,00;100,80;;;20,14;;;1.030.654.046,20;499,00;Ativa;10.224.963,00
CARE11;2,12;0,008385;0,00;8,13;0,26;20.866,27;0,20;;-21,43;290.742.466,56;11.804,00;Ativa;35.769.919,00
CXCE11B;39,26;0,411111;11,76;65,61;0,60;18.729,61;6,67;-23,53;-24,16;112.388.124,70;4.034,00;Passiva;1.712.950,00
BCFF11;61,56;0,560000;10,89;73,48;0,84;1.986.699,67;10,21;5,97;-10,47;1.850.771.372,10;307.357,00;Ativa;25.186.378,00
BBIM11;0,00;0,150000;0,00;30,31;;;1,32;-15,62;;31.366.206,76;20,00;Ativa;1.035.000,00
TCIN11;129,23;;0,00;126,03;1,03;387,00;0,01;;;104.752.157,88;129,00;Ativa;831.197,00
SEED11;98,00;1,070000;13,82;82,12;1,19;336.850,00;1,56;;;134.676.618,72;121,00;Ativa;1.640.000,00
FMOF11;54,20;0,310000;0,83;118,71;0,46;215,27;1,37;18,01;-19,78;60.304.980,45;291,00;Passiva;508.008,00
FLMA11;122,14;0,780000;8,57;160,36;0,76;52.008,00;1,60;29,67;-7,24;221.407.889,96;16.767,00;Ativa;1.380.670,00
HAAA11;65,89;0,470000;9,82;89,11;0,74;2.485,40;0,93;;;307.889.953,82;199,00;Ativa;3.455.000,00
DPRO11;96,49;0,850000;8,03;97,67;0,99;2.356,00;6,77;;;36.304.164,75;149,00;Ativa;371.500,00
ALMI11;808,00;0,371133;0,00;2.021,18;0,40;26.081,97;1,76;;-19,52;224.708.297,45;2.525,00;Passiva;111.177,00
BMLC11;101,00;0,690000;8,98;113,45;0,89;24.037,47;3,23;9,40;4,88;113.271.565,43;1.440,00;Ativa;998.405,00
MINT11;98,86;;0,00;134,36;0,74;197,00;6,18;;;69.869.337,41;68,00;Ativa;520.000,00
RINV11;95,85;0,900000;1,81;95,21;1,01;323.007,86;6,60;;;28.574.573,40;149,00;Ativa;300.129,00
SPXS11;82,00;0,910000;5,69;94,75;0,87;229.419,30;12,83;;;117.323.628,99;1.789,00;Ativa;1.238.196,00
HGRU11;115,33;0,850000;9,91;123,44;0,93;3.418.533,21;1,51;11,71;1,52;2.272.084.514,34;195.452,00;Ativa;18.406.458,00
MVFI11;0,00;;0,00;1,51;;;0,11;;;118.229.555,60;1,00;Ativa;78.155.673,00
GTLG11;95,82;0,700000;8,77;93,51;1,02;13.648,62;4,15;;;670.743.878,59;142,00;Ativa;7.173.000,00
VVCO11;8,76;0,323281;0,00;13,72;0,64;14.870,42;1,19;;0,58;68.787.270,23;3.910,00;Ativa;5.014.556,00
SNFF11;83,89;0,650000;11,04;85,00;0,99;445.636,79;1,72;;;240.563.711,26;33.130,00;Ativa;2.830.000,00
JCDB11;0,00;;0,00;150,28;;;0,25;;;115.641.254,08;58,00;Ativa;769.499,00
PABY11;13,72;;0,00;-16,53;;3.000,38;;;1,79;-12.536.949,41;698,00;Passiva;758.400,00
JRDM11;78,00;1,140000;9,08;88,58;0,90;28.125,45;1,45;18,95;0,02;223.490.739,85;4.190,00;Passiva;2.522.968,00
SHOP11;75,00;;0,00;47,62;1,58;228,50;2,21;;;70.539.709,06;26,00;Ativa;1.481.266,00
MGHT11;61,99;0,800000;14,52;84,89;0,73;101.641,42;6,96;10,65;;111.533.546,83;3.011,00;--;1.313.784,00
FRHY11;0,00;1,030000;0,00;97,75;;;7,42;;;12.756.416,40;7,00;Ativa;130.500,00
GGRC11;99,82;0,950000;11,40;124,49;0,80;1.260.748,58;5,55;10,39;-4,21;1.012.610.974,87;102.139,00;Ativa;8.134.118,00
NVHO11;11,06;0,083207;8,67;13,97;0,79;1.574,94;1,53;1,67;0,18;579.484.343,88;2.237,00;Ativa;41.494.533,00
XPPR11;23,36;0,100000;16,96;73,76;0,32;490.296,70;1,22;-20,16;-33,45;539.662.846,39;67.301,00;Ativa;7.316.171,00
JTPR11;2.517,00;1,630372;0,00;81,93;30,72;;7,64;;;17.589.380,70;8,00;Ativa;214.674,00
MGIM11;101,50;0,176173;0,17;98,41;1,03;;101,04;;;24.337.124,08;75,00;Ativa;247.300,00
CPFF11;57,01;0,340000;11,83;76,52;0,75;345.390,27;0,64;-0,82;-11,50;195.370.697,75;11.436,00;Ativa;2.553.074,00
MFCR11;103,90;0,970000;6,30;101,98;1,02;660,85;1,71;;;10.323.267,84;99,00;Ativa;101.230,00
CNES11;29,75;0,129725;4,27;89,30;0,33;4.235,55;5,40;-24,43;-23,71;263.356.208,58;1.830,00;Ativa;2.949.248,00
BPML11;56,86;0,270465;4,82;124,10;0,46;11.506,45;1,03;;-18,49;534.269.306,84;1.593,00;Passiva;4.305.079,00
LPLP11;0,00;7,790589;0,00;568,95;;;0,21;;;127.064.607,16;4,00;Ativa;223.330,00
JASC11;100,00;0,430000;3,07;104,54;0,96;150.033,67;0,48;;;190.291.916,38;69,00;Ativa;1.820.287,00
RBVA11;91,36;0,950000;13,20;106,57;0,86;896.350,06;0,77;4,89;-10,04;1.234.966.817,10;45.948,00;Ativa;11.588.199,00
VISC11;102,80;0,800000;8,69;124,24;0,83;2.372.978,88;3,49;30,21;1,67;2.309.687.440,80;240.210,00;Ativa;18.591.052,00
ESTQ11;0,00;;0,00;0,06;;;38,96;;;4.092.289,40;5,00;Ativa;65.361.974,00
BTCI11;8,96;0,106000;14,85;10,10;0,89;1.054.142,45;15,94;12,72;-54,12;1.005.521.743,67;43.053,00;Ativa;99.521.172,00
VIFI11;6,72;0,065000;11,03;8,52;0,79;65.640,73;4,45;;;68.956.882,47;9.876,00;Ativa;8.089.190,00
OULG11;36,99;0,410000;4,78;67,12;0,55;45.761,39;2,26;-20,07;-26,09;166.543.855,37;5.171,00;Ativa;2.481.284,00
BMII11;0,00;0,228341;0,00;473,27;;;1,39;;;68.009.067,24;12,00;Passiva;143.700,00
FTCE11B;2.870,00;86,123246;7,74;2.853,09;1,01;4.772.810,00;1,44;;;2.765.063.202,25;57,00;Ativa;969.148,00
